player,rookie_season,minutes,usg_pct,pts_per_100,poss_est
Terry Rozier,2016,311.325,,55.641421947449764,129.4
Rashad Vaughn,2016,1000.6933333333334,,72.18895542248835,300.6
Jerian Grant,2016,1264.7733333333333,,80.0571299706833,532.12
Justin Anderson,2016,646.8766666666667,,93.1899641577061,223.2
Bobby Portis,2016,1102.08,,84.0012330456227,519.04
Tyus Jones,2016,572.72,,75.66938300349243,206.16
Jarell Martin,2016,379.54,,94.28148878481636,162.28
Montrezl Harrell,2016,378.6116666666667,,110.02829298962591,127.24
Richaun Holmes,2016,702.0016666666667,,100.1535455053043,286.56
Darrun Hilliard,2016,383.01666666666665,,90.69212410501194,167.6
Marcus Thornton,2016,1108.0783333333334,,93.98496240601504,627.76
Brandon Ingram,2017,2279.2616666666668,,82.57454026066775,896.16
Jaylen Brown,2017,1341.3266666666666,,94.57176436021743,544.56
Kris Dunn,2017,1333.0,,68.46434246191234,427.96
Buddy Hield,2017,1888.1833333333332,,96.06851260205892,901.44
Jamal Murray,2017,1764.6433333333334,,90.53360125027909,895.8
Marquese Chriss,2017,1743.36,,91.8696012883705,819.64
Thon Maker,2017,562.1883333333334,,102.9331390052833,219.56
Domantas Sabonis,2017,1631.4883333333332,,80.71038619667048,593.48
DeAndre' Bembry,2017,370.74,,83.44348975545275,121.04
Timothé Luwawu-Cabarrot,2017,1189.91,,91.16610669507499,488.12
Skal Labissière,2017,611.6383333333333,,100.50076505772708,287.56
Ivica Zubac,2017,608.515,,98.07984528249759,289.56
Malcolm Brogdon,2017,1982.39,,95.46450263865378,803.44
Patrick McCaw,2017,1073.995,,94.8600645855759,297.28
Isaiah Whitehead,2017,1643.4716666666666,,77.60246955925227,699.72
Paul Zipser,2017,843.38,,86.14501076812634,278.6
Lonzo Ball,2018,1780.0566666666666,,72.20611563918823,731.24
Jayson Tatum,2018,2442.911666666667,,104.65685351805142,1062.52
Josh Jackson,2018,1959.2183333333328,,84.27995602784902,1200.76
