Rk,Player,PTS/100 Poss.,MP/G,G,USG%,TS%,Season,Team,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Class,Player-additional
90,Tookie Brown,32.4,30.8,31,28.2,.558,2015-16,Georgia Southern,31,26,4.0,115,105,2.9,1.1,.169,3.6,-0.1,3.5,22.9,1.9,9.5,5.5,24.7,3.0,0.5,12.3,28.2,G,FR,tookie-brown-1
91,Doug McDermott,32.3,29.1,39,27.4,.607,2010-11,Creighton,39,39,4.4,112,104,3.3,1.2,.157,4.3,-1.3,3.0,22.9,9.4,20.3,15.2,9.8,0.6,0.4,15.4,27.4,F,FR,doug-mcdermott-1
92,Mikel Brown Jr.,32.3,27.8,12,29.9,.539,2025-26,Louisville,12,12,1.5,115,104,0.9,0.6,.174,4.1,0.6,4.7,18.3,0.3,10.5,5.6,32.5,1.5,0.3,14.8,29.9,G,FR,mikel-brown-jr-1
93,Marcus Foster,32.3,29.4,33,28.8,.546,2013-14,Kansas State,33,33,3.2,108,104,1.9,1.3,.133,5.3,1.5,6.8,17.7,3.1,9.5,6.3,20.9,1.2,0.8,13.4,28.8,G,FR,marcus-foster-1
94,Pat Curtin,32.3,20.8,17,29.5,.533,2025-26,Bucknell,17,9,0.9,108,112,0.5,0.4,.100,0.2,-0.5,-0.3,19.1,3.9,13.1,8.3,16.9,3.9,0.4,10.0,29.5,G,FR,pat-curtin-1
95,Tounde Yessoufou,32.3,30.5,20,27.2,.571,2025-26,Baylor,20,20,2.6,118,106,1.6,1.0,.167,4.4,1.2,5.6,22.4,9.5,11.9,10.7,10.8,3.7,1.9,12.5,27.2,G,FR,tounde-yessoufou-1
96,Diamond Stone,32.1,23.1,35,26.7,.610,2015-16,Maryland,35,22,4.1,118,98,2.6,1.5,.204,3.8,2.0,5.8,26.7,12.4,14.5,13.6,4.2,1.3,7.1,12.9,26.7,C,FR,diamond-stone-1
97,Elijah Bryant,32.1,25.5,33,34.6,.501,2014-15,Elon,33,13,2.0,95,99,0.7,1.3,.095,1.4,-0.3,1.1,18.5,5.8,12.9,9.2,24.7,2.9,1.7,19.8,34.6,G,FR,elijah-bryant-1
98,Anthony Edwards,32.1,33.0,32,30.4,.520,2019-20,Georgia,32,32,3.6,106,104,2.5,1.1,.136,4.8,0.7,5.5,20.8,2.5,14.8,8.7,17.9,2.3,1.7,12.9,30.4,G,FR,anthony-edwards-2
99,Alex Chaikin,32.0,26.5,32,23.7,.675,2024-25,Lafayette,32,19,3.4,123,109,2.4,0.9,.159,3.2,-1.9,1.3,19.8,2.1,9.3,5.7,9.2,1.3,0.7,11.5,23.7,G,FR,alex-chaikin-1
100,Brandon McCoy,32.0,28.8,33,27.5,.590,2017-18,UNLV,33,33,4.0,112,100,2.4,1.6,.170,2.6,0.3,2.9,25.2,12.8,25.2,19.5,3.5,0.9,5.7,15.5,27.5,F,FR,brandon-mccoy-1
101,Hunter Dickinson,32.0,26.0,28,27.3,.628,2020-21,Michigan,28,23,3.8,114,94,2.3,1.5,.209,3.9,3.6,7.5,25.8,10.9,21.3,16.6,7.3,0.7,5.3,16.9,27.3,C,FR,hunter-dickinson-1
102,Ray'Sean Taylor,32.0,32.3,21,29.7,.544,2021-22,SIU Edwardsville,21,21,2.3,104,100,1.3,1.0,.137,2.4,0.1,2.4,20.4,3.5,14.5,8.8,22.4,3.2,0.5,15.8,29.7,G,FR,raysean-taylor-1
103,Andrew Rowsey,32.0,36.1,32,27.5,.590,2013-14,UNC Asheville,32,32,3.9,115,111,3.1,0.8,.136,2.8,-2.9,-0.1,19.9,1.4,9.5,5.7,17.2,2.1,0.3,15.7,27.5,G,FR,andrew-rowsey-1
104,Markus Burton,32.0,33.8,33,33.3,.510,2023-24,Notre Dame,33,33,2.9,99,103,1.1,1.8,.102,1.4,2.6,4.0,18.2,2.2,9.1,5.7,34.9,3.5,0.7,17.9,33.3,G,FR,markus-burton-1
105,Evan Boudreaux,31.9,32.1,27,27.9,.567,2015-16,Dartmouth,27,27,3.6,112,100,2.2,1.4,.168,2.4,-1.0,1.4,22.5,8.3,26.3,17.1,8.1,1.5,1.0,14.2,27.9,F,FR,evan-boudreaux-1
106,Souley Boum,31.9,20.3,36,31.3,.518,2017-18,San Francisco,36,12,1.8,100,105,0.8,0.9,.097,0.5,-0.3,0.2,15.8,3.2,11.9,7.4,11.2,1.5,0.7,14.0,31.3,G,FR,souley-boum-1
